Sc(N/M); 1-cutSeuil; UB; LB; statusCode; nbVar; nbFixed; nbNode; tempsTotal; nbConCut2
Sc4-17; 2000; 1003591.00; 884920.86; 102; 9420; 0; 5127; 200.76; 2015
Sc4-17; 2200; 1003591.00; 884989.72; 102; 9420; 0; 4178; 154.92; 2201
Sc4-17; 2400; 1003591.00; 884989.72; 102; 9420; 0; 4120; 182.35; 2437
Sc4-17; 2600; 1003591.00; 884989.72; 1; 9420; 0; 5258; 135.66; 2601
Sc4-17; 2800; 1003591.00; 884989.72; 102; 9420; 0; 5437; 184.39; 2724
Sc5-4; 200; 948898.00; 906417.61; 102; 10560; 0; 4790; 129.76; 202
Sc5-4; 400; 948898.00; 906417.61; 102; 10560; 0; 2874; 91.82; 404
Sc5-4; 600; 948898.00; 906417.61; 102; 10560; 0; 5121; 136.75; 604
Sc5-4; 800; 948898.00; 906417.61; 102; 10560; 0; 4006; 122.99; 812
Sc5-4; 1000; 948898.00; 906417.61; 102; 10560; 0; 4783; 116.30; 1004
Sc5-4; 1200; 948898.00; 906417.61; 102; 10560; 0; 3076; 95.89; 1209
Sc5-4; 1400; 948898.00; 906417.61; 102; 10560; 0; 4888; 140.56; 1426
Sc5-4; 1600; 948898.00; 906417.61; 102; 10560; 0; 3112; 92.63; 1617
Sc5-4; 1800; 948898.00; 906417.61; 102; 10560; 0; 2329; 110.17; 1832
Sc5-4; 2000; 948898.00; 906417.61; 102; 10560; 0; 4278; 131.57; 2004
Sc5-4; 2200; 948898.00; 906417.61; 102; 10560; 0; 3457; 119.67; 2219
Sc5-4; 2400; 948898.00; 906417.61; 102; 10560; 0; 3230; 97.22; 2434
Sc5-4; 2600; 948898.00; 906417.61; 102; 10560; 0; 3378; 103.88; 2520
Sc5-5; 200; 904102.00; 873711.48; 102; 11880; 0; 5889; 34.69; 208
Sc5-5; 400; 904102.00; 873711.48; 102; 11880; 0; 3113; 40.68; 408
Sc5-5; 600; 904102.00; 873711.48; 102; 11880; 0; 4528; 61.17; 606
Sc5-5; 800; 904102.00; 873711.48; 102; 11880; 0; 4106; 40.09; 804
Sc5-5; 1000; 904102.00; 873711.48; 102; 11880; 0; 4372; 26.15; 1002
Sc5-5; 1200; 904102.00; 873711.48; 102; 11880; 0; 5999; 29.33; 1218
Sc5-5; 1400; 904102.00; 873711.48; 102; 11880; 0; 3411; 54.13; 1420
Sc5-5; 1600; 904102.00; 873711.48; 102; 11880; 0; 6118; 52.01; 1605
Sc5-5; 1800; 904102.00; 873711.48; 102; 11880; 0; 4832; 56.58; 1808
Sc5-5; 2000; 904102.00; 873711.48; 102; 11880; 0; 5328; 49.72; 2038
Sc5-5; 2200; 904102.00; 873711.48; 102; 11880; 0; 4527; 30.33; 2222
Sc5-5; 2400; 904102.00; 873711.48; 102; 11880; 0; 4078; 43.68; 2406
Sc5-5; 2600; 904102.00; 873711.48; 102; 11880; 0; 9521; 66.31; 2636
Sc5-5; 2800; 904102.00; 873711.48; 102; 11880; 0; 7849; 49.45; 2820
Sc5-5; 3000; 904102.00; 873711.48; 102; 11880; 0; 7849; 49.11; 2820
Sc5-13; 200; 977110.00; 944794.13; 102; 11760; 0; 3279; 92.10; 204
Sc5-13; 400; 977110.00; 944794.13; 102; 11760; 0; 3450; 79.73; 405
Sc5-13; 600; 977110.00; 944794.13; 102; 11760; 0; 2863; 79.33; 604
Sc5-13; 800; 977110.00; 944794.13; 102; 11760; 0; 4223; 110.93; 816
Sc5-13; 1000; 977110.00; 944794.13; 102; 11760; 0; 2861; 92.09; 1008
Sc5-13; 1200; 977110.00; 944794.13; 102; 11760; 0; 2833; 86.70; 1224
Sc5-13; 1400; 977110.00; 945005.67; 102; 11760; 0; 3260; 87.16; 1416
Sc5-13; 1600; 977110.00; 945005.67; 102; 11760; 0; 4289; 121.66; 1608
Sc5-13; 1800; 977110.00; 945057.21; 102; 11760; 0; 3391; 92.80; 1818
Sc5-13; 2000; 977110.00; 945057.21; 102; 11760; 0; 2951; 98.90; 2028
Sc5-13; 2200; 977110.00; 945875.04; 102; 11760; 0; 3286; 103.41; 2216
Sc5-13; 2400; 977110.00; 945875.04; 102; 11760; 0; 2940; 89.19; 2424
Sc5-13; 2600; 977110.00; 945875.04; 102; 11760; 0; 4733; 110.29; 2632
Sc5-13; 2800; 977110.00; 945875.04; 102; 11760; 0; 2335; 85.66; 2840
Sc5-13; 3000; 977110.00; 945875.04; 102; 11760; 0; 2237; 88.53; 3048
Sc5-13; 3200; 977110.00; 945875.04; 102; 11760; 0; 2960; 80.36; 3204
Sc5-13; 3400; 977110.00; 945875.04; 102; 11760; 0; 4224; 136.50; 3360
Sc5-16; 200; 919921.00; 866432.76; 102; 12240; 0; 38721; 243.10; 201
Sc5-16; 400; 919921.00; 866432.76; 102; 12240; 0; 32803; 218.70; 402
Sc5-16; 600; 919921.00; 866432.76; 102; 12240; 0; 31852; 229.91; 602
Sc5-16; 800; 919921.00; 866432.76; 102; 12240; 0; 38484; 283.90; 802
Sc5-16; 1000; 919921.00; 866432.76; 102; 12240; 0; 23609; 248.96; 1020
Sc5-16; 1200; 919921.00; 866432.76; 102; 12240; 0; 42316; 319.58; 1212
Sc5-16; 1400; 919921.00; 866432.76; 102; 12240; 0; 27920; 223.99; 1404
Sc5-16; 1600; 919921.00; 866432.76; 102; 12240; 0; 48332; 340.95; 1620
Sc5-16; 1800; 919921.00; 866432.76; 102; 12240; 0; 27996; 280.60; 1801
Sc5-16; 2000; 919921.00; 866585.55; 102; 12240; 0; 50547; 269.04; 2023
Sc5-16; 2200; 919921.00; 866585.55; 102; 12240; 0; 31070; 231.77; 2208
Sc5-16; 2400; 919921.00; 866585.55; 102; 12240; 0; 42209; 304.09; 2438
Sc5-16; 2600; 919921.00; 866585.55; 102; 12240; 0; 42209; 304.04; 2622
Sc5-16; 2800; 919921.00; 866585.55; 102; 12240; 0; 36102; 262.63; 2806
Sc5-16; 3000; 919921.00; 866585.55; 102; 12240; 0; 48585; 371.95; 3036
Sc5-16; 3200; 919921.00; 866585.55; 102; 12240; 0; 43929; 311.42; 3220
Sc5-16; 3400; 919921.00; 866585.55; 102; 12240; 0; 43929; 310.53; 3312
Sc5-18; 200; 925217.00; 852970.32; 102; 12240; 0; 5134; 338.11; 204
Sc5-18; 400; 925217.00; 852970.32; 102; 12240; 0; 4950; 327.51; 405
Sc5-18; 600; 925217.00; 852970.32; 102; 12240; 0; 3424; 288.41; 604
Sc5-18; 800; 925217.00; 853004.50; 102; 12240; 0; 3996; 381.08; 804
Sc5-18; 1000; 925217.00; 853004.50; 102; 12240; 0; 3757; 284.15; 1014
Sc5-18; 1200; 925217.00; 853004.50; 102; 12240; 0; 4126; 261.35; 1224
Sc5-18; 1400; 925217.00; 853004.50; 102; 12240; 0; 6421; 505.46; 1404
Sc5-18; 1600; 925217.00; 853004.50; 102; 12240; 0; 4346; 339.88; 1614
Sc5-18; 1800; 925217.00; 853004.50; 102; 12240; 0; 4283; 311.25; 1824
Sc5-18; 2000; 925217.00; 853004.50; 102; 12240; 0; 4476; 375.49; 2004
Sc5-18; 2200; 925217.00; 853026.19; 102; 12240; 0; 6752; 572.85; 2229
Sc5-18; 2400; 925217.00; 853429.32; 102; 12240; 0; 3974; 355.29; 2419
Sc5-18; 2600; 925217.00; 853429.32; 102; 12240; 0; 5886; 485.30; 2639
Sc5-18; 2800; 925217.00; 853429.32; 102; 12240; 0; 3767; 389.75; 2804
Sc5-18; 3000; 925217.00; 853429.32; 102; 12240; 0; 3602; 325.98; 3024
Sc5-18; 3200; 925217.00; 853429.32; 102; 12240; 0; 3959; 409.16; 3244
Sc5-18; 3400; 925217.00; 853429.32; 102; 12240; 0; 4749; 452.49; 3409
Sc5-18; 3600; 925217.00; 853429.32; 102; 12240; 0; 6510; 588.78; 3629
Sc5-18; 3800; 925217.00; 853429.32; 102; 12240; 0; 3171; 335.27; 3684
Sc6-6; 200; 1309111.00; 1218469.50; 102; 18900; 0; 7637; 134.96; 213
Sc6-6; 400; 1309111.00; 1219962.41; 102; 18900; 0; 11125; 152.30; 408
Sc6-6; 600; 1309111.00; 1219962.41; 102; 18900; 0; 7522; 155.83; 606
Sc6-6; 800; 1309111.00; 1219962.41; 102; 18900; 0; 12958; 187.98; 804
Sc6-6; 1000; 1309111.00; 1219962.41; 102; 18900; 0; 8584; 176.87; 1014
Sc6-6; 1200; 1309111.00; 1219962.41; 102; 18900; 0; 8584; 176.42; 1209
Sc6-6; 1400; 1309111.00; 1219962.41; 102; 18900; 0; 8544; 143.80; 1422
Sc6-6; 1600; 1309111.00; 1219968.64; 102; 18900; 0; 8351; 155.81; 1613
Sc6-6; 1800; 1309111.00; 1220263.78; 102; 18900; 0; 7017; 137.29; 1813
Sc6-6; 2000; 1309111.00; 1220406.66; 102; 18900; 0; 8489; 145.99; 2013
Sc6-6; 2200; 1309111.00; 1220486.90; 102; 18900; 0; 12532; 196.98; 2213
Sc6-6; 2400; 1309111.00; 1220825.83; 102; 18900; 0; 7882; 142.85; 2428
Sc6-6; 2600; 1309111.00; 1220923.58; 102; 18900; 0; 7935; 145.77; 2628
Sc6-6; 2800; 1309111.00; 1221148.14; 102; 18900; 0; 7227; 169.91; 2828
Sc6-6; 3000; 1309111.00; 1221148.14; 102; 18900; 0; 7512; 145.19; 3028
Sc6-6; 3200; 1309111.00; 1221148.14; 102; 18900; 0; 9675; 169.76; 3228
Sc6-6; 3400; 1309111.00; 1221152.73; 102; 18900; 0; 9380; 180.99; 3404
Sc6-6; 3600; 1309111.00; 1221152.73; 102; 18900; 0; 5978; 127.70; 3628
Sc6-6; 3800; 1309111.00; 1221152.73; 102; 18900; 0; 8271; 201.90; 3852
Sc6-6; 4000; 1309111.00; 1221152.73; 102; 18900; 0; 8125; 180.79; 4020
Sc6-6; 4200; 1309111.00; 1221152.73; 102; 18900; 0; 8851; 186.76; 4244
Sc6-6; 4400; 1309111.00; 1221152.73; 102; 18900; 0; 7695; 171.13; 4412
Sc6-6; 4600; 1309111.00; 1221152.73; 102; 18900; 0; 6727; 150.76; 4636
Sc6-6; 4800; 1309111.00; 1221152.73; 102; 18900; 0; 9778; 172.38; 4692
Sc6-11; 200; 1465775.00; 1385966.39; 102; 19440; 0; 12264; 378.44; 213
Sc6-11; 400; 1465775.00; 1385966.39; 102; 19440; 0; 10408; 393.62; 408
Sc6-11; 600; 1465775.00; 1385966.39; 102; 19440; 0; 7403; 240.21; 606
Sc6-11; 800; 1465775.00; 1385966.39; 102; 19440; 0; 7992; 280.44; 804
Sc6-11; 1000; 1465775.00; 1385966.39; 102; 19440; 0; 8765; 372.00; 1004
Sc6-11; 1200; 1465775.00; 1385966.39; 102; 19440; 0; 8103; 297.40; 1219
Sc6-11; 1400; 1465775.00; 1386082.62; 102; 19440; 0; 5525; 262.38; 1409
Sc6-11; 1600; 1465775.00; 1386082.62; 102; 19440; 0; 4009; 177.43; 1604
Sc6-11; 1800; 1465775.00; 1386082.62; 102; 19440; 0; 3708; 198.62; 1802
Sc6-11; 2000; 1465775.00; 1386821.59; 102; 19440; 0; 8767; 176.05; 2022
Sc6-11; 2200; 1465775.00; 1386821.59; 102; 19440; 0; 16047; 527.59; 2220
Sc6-11; 2400; 1465775.00; 1387768.78; 102; 19440; 0; 9140; 325.60; 2428
Sc6-11; 2600; 1465775.00; 1388280.99; 102; 19440; 0; 18656; 439.26; 2636
Sc6-11; 2800; 1465775.00; 1389118.72; 102; 19440; 0; 7164; 254.08; 2844
Sc6-11; 3000; 1465775.00; 1389655.51; 102; 19440; 0; 19419; 586.14; 3052
Sc6-11; 3200; 1465775.00; 1390145.87; 102; 19440; 0; 6490; 256.78; 3208
Sc6-11; 3400; 1465775.00; 1390372.45; 102; 19440; 0; 14402; 389.99; 3416
Sc6-11; 3600; 1465775.00; 1390372.45; 102; 19440; 0; 9310; 340.70; 3642
Sc6-11; 3800; 1465775.00; 1390372.45; 102; 19440; 0; 21153; 571.69; 3816
Sc6-11; 4000; 1465775.00; 1390372.45; 102; 19440; 0; 8413; 297.68; 4048
Sc6-11; 4200; 1465775.00; 1390372.45; 102; 19440; 0; 7715; 326.93; 4222
Sc6-11; 4400; 1465775.00; 1390372.45; 102; 19440; 0; 6010; 234.26; 4454
Sc6-11; 4600; 1465775.00; 1390372.45; 102; 19440; 0; 6019; 223.13; 4628
Sc6-11; 4800; 1465775.00; 1390372.45; 102; 19440; 0; 27316; 584.60; 4802
Sc6-11; 5000; 1465775.00; 1390372.45; 102; 19440; 0; 5240; 238.48; 4860
Sc6-12; 200; 1218077.00; 1134862.44; 102; 18720; 105; 29858; 223.84; 204
Sc6-12; 400; 1218077.00; 1134862.44; 102; 18720; 105; 30237; 219.32; 402
Sc6-12; 600; 1218077.00; 1134862.44; 102; 18720; 105; 32721; 261.05; 610
Sc6-12; 800; 1218077.00; 1134862.44; 102; 18720; 105; 12104; 143.10; 810
Sc6-12; 1000; 1218077.00; 1134862.44; 102; 18720; 105; 22486; 186.51; 1008
Sc6-12; 1200; 1218077.00; 1135481.47; 102; 18720; 105; 30987; 354.00; 1216
Sc6-12; 1400; 1218077.00; 1136596.12; 102; 18720; 105; 21762; 236.51; 1417
Sc6-12; 1600; 1218077.00; 1137071.41; 102; 18720; 105; 30545; 245.51; 1617
Sc6-12; 1800; 1218077.00; 1138363.41; 102; 18720; 105; 15770; 179.74; 1817
Sc6-12; 2000; 1218077.00; 1138378.45; 102; 18720; 105; 26705; 204.94; 2017
Sc6-12; 2200; 1218077.00; 1139419.92; 102; 18720; 105; 26826; 262.25; 2217
Sc6-12; 2400; 1218077.00; 1140094.95; 102; 18720; 105; 22028; 218.93; 2403
Sc6-12; 2600; 1218077.00; 1140094.95; 102; 18720; 105; 27230; 285.40; 2625
Sc6-12; 2800; 1218077.00; 1140094.95; 102; 18720; 105; 18231; 203.13; 2810
Sc6-12; 3000; 1218077.00; 1140094.95; 102; 18720; 105; 29118; 318.32; 3032
Sc6-12; 3200; 1218077.00; 1140094.95; 102; 18720; 105; 17879; 218.12; 3231
Sc6-12; 3400; 1218077.00; 1140094.95; 102; 18720; 105; 19003; 223.78; 3435
Sc6-12; 3600; 1218077.00; 1140094.95; 102; 18720; 105; 31933; 402.09; 3639
Sc6-12; 3800; 1218077.00; 1140094.95; 102; 18720; 105; 39262; 492.69; 3843
Sc6-12; 4000; 1218077.00; 1140094.95; 102; 18720; 105; 30707; 260.94; 4047
Sc6-12; 4200; 1218077.00; 1140094.95; 102; 18720; 105; 12790; 225.58; 4251
Sc6-12; 4400; 1218077.00; 1140094.95; 102; 18720; 105; 31061; 270.13; 4404
Sc6-12; 4600; 1218077.00; 1140094.95; 102; 18720; 105; 31061; 270.75; 4404
Sc6-18; 200; 1108512.00; 1008053.39; 102; 18720; 0; 4451; 221.61; 202
Sc6-18; 400; 1108512.00; 1009123.43; 102; 18720; 0; 5668; 214.58; 402
Sc6-18; 600; 1108512.00; 1009123.43; 102; 18720; 0; 4862; 202.50; 606
Sc6-18; 800; 1108512.00; 1009123.43; 102; 18720; 0; 5287; 240.66; 814
Sc6-18; 1000; 1108512.00; 1009123.43; 102; 18720; 0; 5287; 238.07; 1010
Sc6-18; 1200; 1108512.00; 1009454.56; 102; 18720; 0; 5927; 267.42; 1215
Sc6-18; 1400; 1108512.00; 1009454.56; 102; 18720; 0; 4510; 216.07; 1404
Sc6-18; 1600; 1108512.00; 1009454.56; 102; 18720; 0; 5373; 204.44; 1602
Sc6-18; 1800; 1108512.00; 1009454.56; 102; 18720; 0; 5931; 282.66; 1818
Sc6-18; 2000; 1108512.00; 1009454.56; 102; 18720; 0; 4979; 234.69; 2001
Sc6-18; 2200; 1108512.00; 1009454.56; 102; 18720; 0; 6402; 307.91; 2218
Sc6-18; 2400; 1108512.00; 1009454.56; 102; 18720; 0; 5008; 229.55; 2404
Sc6-18; 2600; 1108512.00; 1009454.56; 102; 18720; 0; 5534; 229.59; 2621
Sc6-18; 2800; 1108512.00; 1009454.56; 102; 18720; 0; 5385; 249.34; 2840
Sc6-18; 3000; 1108512.00; 1009454.56; 102; 18720; 0; 7637; 333.59; 3028
Sc6-18; 3200; 1108512.00; 1009454.56; 102; 18720; 0; 6660; 314.93; 3216
Sc6-18; 3400; 1108512.00; 1009454.56; 102; 18720; 0; 6885; 304.42; 3404
Sc6-18; 3600; 1108512.00; 1009454.56; 102; 18720; 0; 5044; 349.41; 3639
Sc6-18; 3800; 1108512.00; 1009454.56; 102; 18720; 0; 5246; 233.13; 3780
Sc6-20; 200; 1458148.00; 1376729.40; 102; 20880; 0; 3830; 76.75; 204
Sc6-20; 400; 1458148.00; 1376729.40; 102; 20880; 0; 4573; 179.31; 405
Sc6-20; 600; 1458148.00; 1376729.40; 102; 20880; 0; 3983; 227.90; 606
Sc6-20; 800; 1458148.00; 1376729.40; 102; 20880; 0; 3646; 217.35; 806
Sc6-20; 1000; 1458148.00; 1376729.40; 102; 20880; 0; 2581; 191.16; 1011
Sc6-20; 1200; 1458148.00; 1376803.71; 102; 20880; 0; 3762; 209.69; 1212
Sc6-20; 1400; 1458148.00; 1376803.71; 102; 20880; 0; 5856; 293.11; 1413
Sc6-20; 1600; 1458148.00; 1377609.69; 102; 20880; 0; 3240; 172.04; 1602
Sc6-20; 1800; 1458148.00; 1377655.29; 102; 20880; 0; 5737; 202.89; 1812
Sc6-20; 2000; 1458148.00; 1377671.82; 102; 20880; 0; 4202; 251.55; 2001
Sc6-20; 2200; 1458148.00; 1378646.00; 102; 20880; 0; 4004; 261.66; 2214
Sc6-20; 2400; 1458148.00; 1378646.00; 102; 20880; 0; 3521; 99.34; 2412
Sc6-20; 2600; 1458148.00; 1378646.00; 102; 20880; 0; 4199; 112.23; 2610
Sc6-20; 2800; 1458148.00; 1378646.00; 102; 20880; 0; 4800; 109.01; 2808
Sc6-20; 3000; 1458148.00; 1378646.00; 102; 20880; 0; 2860; 216.67; 3032
Sc6-20; 3200; 1458148.00; 1378646.00; 102; 20880; 0; 3312; 254.12; 3216
Sc6-20; 3400; 1458148.00; 1378646.00; 102; 20880; 0; 4261; 118.40; 3446
Sc6-20; 3600; 1458148.00; 1378646.00; 102; 20880; 0; 5098; 124.21; 3630
Sc6-20; 3800; 1458148.00; 1378646.00; 102; 20880; 0; 2978; 176.90; 3814
Sc6-20; 4000; 1458148.00; 1378646.00; 102; 20880; 0; 1985; 162.37; 4044
Sc6-20; 4200; 1458148.00; 1378646.00; 102; 20880; 0; 1985; 162.65; 4044
